x,y,z,boundary_left,boundary_right,velocity_long_ref,kappa,yaw_angle,yaw_angle_error,lat_deviation,arc_progress,time,yaw_angle_dot,velocity_lat,acceleration_long,acceleration_lat,force_long_fl,force_long_fr,force_long_rl,force_long_rr,steering_angle,steering_angle_dot
8.78792572,0.0,0,0.86,-0.86,3,0,0,0,0,8.78792542,0,0,0,0,0,0,0,0,0,0,0
8.88778782,0.0,0,0.86,-0.86,3,-0,0,0,0,8.88778821,0,-0,0,0,0,0,0,0,0,0,0
8.98765087,0.0,0,0.86,-0.86,3,0,0,0,0,8.987651,0,0,0,0,0,0,0,0,0,0,0
9.08751392,0.0,0,0.86,-0.86,3,0,0,0,0,9.08751379,0,0,0,0,0,0,0,0,0,0,0
9.18737698,0.0,0,0.86,-0.86,3,-0,0,0,0,9.18737658,0,-0,0,0,0,0,0,0,0,0,0
9.28723907,0.0,0,0.86,-0.86,3,0,0,0,0,9.28723937,0,0,0,0,0,0,0,0,0,0,0
9.38710213,0.0,0,0.86,-0.86,3,0,0,0,0,9.38710216,0,0,0,0,0,0,0,0,0,0,0
9.48696518,0.0,0,0.86,-0.86,3,-0,0,0,0,9.48696495,0,-0,0,0,0,0,0,0,0,0,0
9.58682728,0.0,0,0.86,-0.86,3,-0.00012104585,-6.05841588e-06,0,0,9.58682774,0,-0.000363137549,0,0,0,0,0,0,0,0,0
9.68692875,1.211464e-06,0,0.86,-0.86,3,-0.000725411849,-4.84096501e-05,0,0,9.68692877,0,-0.00217623555,0,0,0,0,0,0,0,0,0
9.78703022,9.69171197e-06,0,0.86,-0.86,3,-0.0014508237,-0.000157331363,0,0,9.7870298,0,-0.00435247111,0,0,0,0,0,0,0,0,0
9.88713074,3.27095258e-05,0,0.86,-0.86,3,-0.00217623557,-0.000338867551,0,0,9.88713083,0,-0.00652870671,0,0,0,0,0,0,0,0,0
9.98723221,7.75336957e-05,0,0.86,-0.86,3,-0.00290164745,-0.000593018214,0,0,9.98723187,0,-0.00870494236,0,0,0,0,0,0,0,0,0
10.0873327,0.000151432992,0,0.86,-0.86,3,-0.00362705936,-0.000919783352,0,0,10.0873329,0,-0.0108811781,0,0,0,0,0,0,0,0,0
10.1874342,0.000261676178,0,0.86,-0.86,3,-0.00435247129,-0.00131916297,0,0,10.1874339,0,-0.0130574139,0,0,0,0,0,0,0,0,0
10.2875347,0.000415532064,0,0.86,-0.86,3,-0.00507788326,-0.00179115705,0,0,10.287535,0,-0.0152336498,0,0,0,0,0,0,0,0,0
10.3876352,0.000620269333,0,0.86,-0.86,3,-0.00580329527,-0.00233576562,0,0,10.387636,0,-0.0174098858,0,0,0,0,0,0,0,0,0
10.4877367,0.000883156725,0,0.86,-0.86,3,-0.00652870733,-0.00295298866,0,0,10.487737,0,-0.019586122,0,0,0,0,0,0,0,0,0
10.5878372,0.00121146289,0,0.86,-0.86,3,-0.00725411943,-0.00364282617,0,0,10.5878381,0,-0.0217623583,0,0,0,0,0,0,0,0,0
10.6879368,0.0016124564,0,0.86,-0.86,3,-0.0079795316,-0.00440527816,0,0,10.6879391,0,-0.0239385948,0,0,0,0,0,0,0,0,0
10.7880373,0.0020934057,0,0.86,-0.86,3,-0.00870494383,-0.00524034462,0,0,10.7880401,0,-0.0261148315,0,0,0,0,0,0,0,0,0
10.8881359,0.00266157929,0,0.86,-0.86,3,-0.00943035612,-0.00614802556,0,0,10.8881411,0,-0.0282910684,0,0,0,0,0,0,0,0,0
10.9882355,0.0033242451,0,0.86,-0.86,3,-0.0101557685,-0.00712832098,0,0,10.9882422,0,-0.0304673055,0,0,0,0,0,0,0,0,0
11.0883331,0.00408867141,0,0.86,-0.86,3,-0.0108811809,-0.00818123087,0,0,11.0883432,0,-0.0326435428,0,0,0,0,0,0,0,0,0
11.1884308,0.00496212579,0,0.86,-0.86,3,-0.0116065935,-0.00930675523,0,0,11.1884442,0,-0.0348197804,0,0,0,0,0,0,0,0,0
11.2885265,0.00595187582,0,0.86,-0.86,3,-0.0123320061,-0.0105048941,0,0,11.2885453,0,-0.0369960183,0,0,0,0,0,0,0,0,0
11.3886213,0.00706518814,0,0.86,-0.86,3,-0.0130574188,-0.0117756474,0,0,11.3886463,0,-0.0391722565,0,0,0,0,0,0,0,0,0
11.4887142,0.00830932986,0,0.86,-0.86,3,-0.0137828317,-0.0131190152,0,0,11.4887473,0,-0.041348495,0,0,0,0,0,0,0,0,0
11.5888062,0.00969156623,0,0.86,-0.86,3,-0.0145082446,-0.0145349974,0,0,11.5888483,0,-0.0435247338,0,0,0,0,0,0,0,0,0
11.6888952,0.0112191625,0,0.86,-0.86,3,-0.0152336577,-0.0160235942,0,0,11.6889494,0,-0.045700973,0,0,0,0,0,0,0,0,0
11.7889824,0.0128993839,0,0.86,-0.86,3,-0.0159590708,-0.0175848054,0,0,11.7890504,0,-0.0478772125,0,0,0,0,0,0,0,0,0
11.8890667,0.0147394938,0,0.86,-0.86,3,-0.0166844841,-0.0192186311,0,0,11.8891514,0,-0.0500534524,0,0,0,0,0,0,0,0,0
11.9891472,0.0167467557,0,0.86,-0.86,3,-0.0174098976,-0.0209250713,0,0,11.9892524,0,-0.0522296927,0,0,0,0,0,0,0,0,0
12.0892248,0.0189284291,0,0.86,-0.86,3,-0.0181353111,-0.0227041259,0,0,12.0893534,0,-0.0544059334,0,0,0,0,0,0,0,0,0
12.1892977,0.0212917756,0,0.86,-0.86,3,-0.0188607248,-0.024555795,0,0,12.1894545,0,-0.0565821745,0,0,0,0,0,0,0,0,0
12.2893667,0.0238440521,0,0.86,-0.86,3,-0.0195861387,-0.0264800786,0,0,12.2895555,0,-0.0587584161,0,0,0,0,0,0,0,0,0
12.3894291,0.0265925191,0,0.86,-0.86,3,-0.0203115527,-0.0284769767,0,0,12.3896565,0,-0.0609346582,0,0,0,0,0,0,0,0,0
12.4894867,0.029544428,0,0.86,-0.86,3,-0.0210369669,-0.0305464892,0,0,12.4897575,0,-0.0631109007,0,0,0,0,0,0,0,0,0
12.5895376,0.0327070318,0,0.86,-0.86,3,-0.0217623812,-0.0326886162,0,0,12.5898585,0,-0.0652871437,0,0,0,0,0,0,0,0,0
12.6895819,0.0360875838,0,0.86,-0.86,3,-0.0224877958,-0.0349033577,0,0,12.6899595,0,-0.0674633873,0,0,0,0,0,0,0,0,0
12.7896185,0.0396933332,0,0.86,-0.86,3,-0.0232132105,-0.0371907137,0,0,12.7900605,0,-0.0696396314,0,0,0,0,0,0,0,0,0
12.8896456,0.0435315222,0,0.86,-0.86,3,-0.0239386253,-0.0395506841,0,0,12.8901616,0,-0.071815876,0,0,0,0,0,0,0,0,0
12.9896631,0.0476093888,0,0.86,-0.86,3,-0.0246640404,-0.041983269,0,0,12.9902626,0,-0.0739921212,0,0,0,0,0,0,0,0,0
13.0896711,0.0519341789,0,0.86,-0.86,3,-0.0253894557,-0.0444884684,0,0,13.0903636,0,-0.076168367,0,0,0,0,0,0,0,0,0
13.1896667,0.0565131269,0,0.86,-0.86,3,-0.0261148711,-0.0470662823,0,0,13.1904646,0,-0.0783446134,0,0,0,0,0,0,0,0,0
13.2896509,0.0613534562,0,0.86,-0.86,3,-0.0268402868,-0.0497167106,0,0,13.2905656,0,-0.0805208604,0,0,0,0,0,0,0,0,0
13.3896217,0.066462405,0,0.86,-0.86,3,-0.0275657027,-0.0524397535,0,0,13.3906666,0,-0.082697108,0,0,0,0,0,0,0,0,0
13.4895773,0.071847178,0,0.86,-0.86,3,-0.0282911188,-0.0552354108,0,0,13.4907676,0,-0.0848733563,0,0,0,0,0,0,0,0,0
13.5895176,0.0775150061,0,0.86,-0.86,3,-0.0290165351,-0.0581036825,0,0,13.5908686,0,-0.0870496053,0,0,0,0,0,0,0,0,0
13.6894417,0.0834730938,0,0.86,-0.86,3,-0.0297419517,-0.0610445688,0,0,13.6909696,0,-0.089225855,0,0,0,0,0,0,0,0,0
13.7893467,0.0897286534,0,0.86,-0.86,3,-0.0304673684,-0.0640580695,0,0,13.7910706,0,-0.0914021053,0,0,0,0,0,0,0,0,0
13.8892326,0.0962888673,0,0.86,-0.86,3,-0.0311927855,-0.0671441847,0,0,13.8911716,0,-0.0935783564,0,0,0,0,0,0,0,0,0
13.9890976,0.103160933,0,0.86,-0.86,3,-0.0319182027,-0.0703029143,0,0,13.9912726,0,-0.0957546082,0,0,0,0,0,0,0,0,0
14.0889397,0.110352039,0,0.86,-0.86,3,-0.0326436203,-0.0735342585,0,0,14.0913735,0,-0.0979308608,0,0,0,0,0,0,0,0,0
14.1887579,0.117869355,0,0.86,-0.86,3,-0.0333690381,-0.0768382171,0,0,14.1914745,0,-0.100107114,0,0,0,0,0,0,0,0,0
